{4: 192, 6: 320, 8: 4416}
0,97,541,706
1,98,542,707
2,99,543,708
3,100,544,709
4,101,545,710
5,102,546,711
6,103,547,712
7,104,548,713
8,105,549,714
9,106,550,715
10,107,551,716
11,108,552,717
12,109,553,718
13,110,554,719
14,111,555,720
15,112,556,721
16,113,557,722
17,114,558,723
18,115,559,724
19,116,560,725
20,117,561,726
21,118,562,727
22,119,563,728
23,120,564,729
24,121,565,730
25,122,566,731
26,123,567,732
27,124,568,733
28,125,569,734
29,126,570,735
30,127,571,736
31,64,572,737
32,65,573,738
33,66,574,739
34,67,575,740
35,68,512,741
36,69,513,742
37,70,514,743
38,71,515,744
39,72,516,745
40,73,517,746
41,74,518,747
42,75,519,748
43,76,520,749
44,77,521,750
45,78,522,751
46,79,523,752
47,80,524,753
48,81,525,754
49,82,526,755
50,83,527,756
51,84,528,757
52,85,529,758
53,86,530,759
54,87,531,760
55,88,532,761
56,89,533,762
57,90,534,763
58,91,535,764
59,92,536,765
60,93,537,766
61,94,538,767
62,95,539,704
63,96,540,705
64,159,376,737
64,208,421,461
65,160,377,738
65,209,422,462
66,161,378,739
66,210,423,463
67,162,379,740
67,211,424,464
68,163,380,741
68,212,425,465
69,164,381,742
69,213,426,466
70,165,382,743
70,214,427,467
71,166,383,744
71,215,428,468
72,167,320,745
72,216,429,469
73,168,321,746
73,217,430,470
74,169,322,747
74,218,431,471
75,170,323,748
75,219,432,472
76,171,324,749
76,220,433,473
77,172,325,750
77,221,434,474
78,173,326,751
78,222,435,475
79,174,327,752
79,223,436,476
80,175,328,753
80,224,437,477
81,176,329,754
81,225,438,478
82,177,330,755
82,226,439,479
83,178,331,756
83,227,440,480
84,179,332,757
84,228,441,481
85,180,333,758
85,229,442,482
86,181,334,759
86,230,443,483
87,182,335,760
87,231,444,484
88,183,336,761
88,232,445,485
89,184,337,762
89,233,446,486
90,185,338,763
90,234,447,487
91,186,339,764
91,235,384,488
92,187,340,765
92,236,385,489
93,188,341,766
93,237,386,490
94,189,342,767
94,238,387,491
95,190,343,704
95,239,388,492
96,191,344,705
96,240,389,493
97,128,345,706
97,241,390,494
98,129,346,707
98,242,391,495
99,130,347,708
99,243,392,496
100,131,348,709
100,244,393,497
101,132,349,710
101,245,394,498
102,133,350,711
102,246,395,499
103,134,351,712
103,247,396,500
104,135,352,713
104,248,397,501
105,136,353,714
105,249,398,502
106,137,354,715
106,250,399,503
107,138,355,716
107,251,400,504
108,139,356,717
108,252,401,505
109,140,357,718
109,253,402,506
110,141,358,719
110,254,403,507
111,142,359,720
111,255,404,508
112,143,360,721
112,192,405,509
113,144,361,722
113,193,406,510
114,145,362,723
114,194,407,511
115,146,363,724
115,195,408,448
116,147,364,725
116,196,409,449
117,148,365,726
117,197,410,450
118,149,366,727
118,198,411,451
119,150,367,728
119,199,412,452
120,151,368,729
120,200,413,453
121,152,369,730
121,201,414,454
122,153,370,731
122,202,415,455
123,154,371,732
123,203,416,456
124,155,372,733
124,204,417,457
125,156,373,734
125,205,418,458
126,157,374,735
126,206,419,459
127,158,375,736
127,207,420,460
0,123,246,416,499,732
0,97,128,345,541,706
0,116,220,364,706,864
1,124,247,417,500,733
1,98,129,346,542,707
1,117,221,365,707,865
2,125,248,418,501,734
2,99,130,347,543,708
2,118,222,366,708,866
3,126,249,419,502,735
3,100,131,348,544,709
3,119,223,367,709,867
4,127,250,420,503,736
4,101,132,349,545,710
4,120,224,368,710,868
5,64,251,421,504,737
5,102,133,350,546,711
5,121,225,369,711,869
6,65,252,422,505,738
6,103,134,351,547,712
6,122,226,370,712,870
7,66,253,423,506,739
7,104,135,352,548,713
7,123,227,371,713,871
8,67,254,424,507,740
8,105,136,353,549,714
8,124,228,372,714,872
9,68,255,425,508,741
9,106,137,354,550,715
9,125,229,373,715,873
10,69,192,426,509,742
10,107,138,355,551,716
10,126,230,374,716,874
11,70,193,427,510,743
11,108,139,356,552,717
11,127,231,375,717,875
12,71,194,428,511,744
12,109,140,357,553,718
12,64,232,376,718,876
13,72,195,429,448,745
13,110,141,358,554,719
13,65,233,377,719,877
14,73,196,430,449,746
14,111,142,359,555,720
14,66,234,378,720,878
15,74,197,431,450,747
15,112,143,360,556,721
15,67,235,379,721,879
16,75,198,432,451,748
16,113,144,361,557,722
16,68,236,380,722,880
17,76,199,433,452,749
17,114,145,362,558,723
17,69,237,381,723,881
18,77,200,434,453,750
18,115,146,363,559,724
18,70,238,382,724,882
19,78,201,435,454,751
19,116,147,364,560,725
19,71,239,383,725,883
20,79,202,436,455,752
20,117,148,365,561,726
20,72,240,320,726,884
21,80,203,437,456,753
21,118,149,366,562,727
21,73,241,321,727,885
22,81,204,438,457,754
22,119,150,367,563,728
22,74,242,322,728,886
23,82,205,439,458,755
23,120,151,368,564,729
23,75,243,323,729,887
24,83,206,440,459,756
24,121,152,369,565,730
24,76,244,324,730,888
25,84,207,441,460,757
25,122,153,370,566,731
25,77,245,325,731,889
26,85,208,442,461,758
26,123,154,371,567,732
26,78,246,326,732,890
27,86,209,443,462,759
27,124,155,372,568,733
27,79,247,327,733,891
28,87,210,444,463,760
28,125,156,373,569,734
28,80,248,328,734,892
29,88,211,445,464,761
29,126,157,374,570,735
29,81,249,329,735,893
30,89,212,446,465,762
30,127,158,375,571,736
30,82,250,330,736,894
31,90,213,447,466,763
31,64,159,376,572,737
31,83,251,331,737,895
32,91,214,384,467,764
32,65,160,377,573,738
32,84,252,332,738,832
33,92,215,385,468,765
33,66,161,378,574,739
33,85,253,333,739,833
34,93,216,386,469,766
34,67,162,379,575,740
34,86,254,334,740,834
35,94,217,387,470,767
35,68,163,380,512,741
35,87,255,335,741,835
36,95,218,388,471,704
36,69,164,381,513,742
36,88,192,336,742,836
37,96,219,389,472,705
37,70,165,382,514,743
37,89,193,337,743,837
38,97,220,390,473,706
38,71,166,383,515,744
38,90,194,338,744,838
39,98,221,391,474,707
39,72,167,320,516,745
39,91,195,339,745,839
40,99,222,392,475,708
40,73,168,321,517,746
40,92,196,340,746,840
41,100,223,393,476,709
41,74,169,322,518,747
41,93,197,341,747,841
42,101,224,394,477,710
42,75,170,323,519,748
42,94,198,342,748,842
43,102,225,395,478,711
43,76,171,324,520,749
43,95,199,343,749,843
44,103,226,396,479,712
44,77,172,325,521,750
44,96,200,344,750,844
45,104,227,397,480,713
45,78,173,326,522,751
45,97,201,345,751,845
46,105,228,398,481,714
46,79,174,327,523,752
46,98,202,346,752,846
47,106,229,399,482,715
47,80,175,328,524,753
47,99,203,347,753,847
48,107,230,400,483,716
48,81,176,329,525,754
48,100,204,348,754,848
49,108,231,401,484,717
49,82,177,330,526,755
49,101,205,349,755,849
50,109,232,402,485,718
50,83,178,331,527,756
50,102,206,350,756,850
51,110,233,403,486,719
51,84,179,332,528,757
51,103,207,351,757,851
52,111,234,404,487,720
52,85,180,333,529,758
52,104,208,352,758,852
53,112,235,405,488,721
53,86,181,334,530,759
53,105,209,353,759,853
54,113,236,406,489,722
54,87,182,335,531,760
54,106,210,354,760,854
55,114,237,407,490,723
55,88,183,336,532,761
55,107,211,355,761,855
56,115,238,408,491,724
56,89,184,337,533,762
56,108,212,356,762,856
57,116,239,409,492,725
57,90,185,338,534,763
57,109,213,357,763,857
58,117,240,410,493,726
58,91,186,339,535,764
58,110,214,358,764,858
59,118,241,411,494,727
59,92,187,340,536,765
59,111,215,359,765,859
60,119,242,412,495,728
60,93,188,341,537,766
60,112,216,360,766,860
61,120,243,413,496,729
61,94,189,342,538,767
61,113,217,361,767,861
62,121,244,414,497,730
62,95,190,343,539,704
62,114,218,362,704,862
63,122,245,415,498,731
63,96,191,344,540,705
63,115,219,363,705,863
64,159,237,376,580,858
64,159,237,580,737,858
65,160,238,377,581,859
65,160,238,581,738,859
66,161,239,378,582,860
66,161,239,582,739,860
67,162,240,379,583,861
67,162,240,583,740,861
68,163,241,380,584,862
68,163,241,584,741,862
69,164,242,381,585,863
69,164,242,585,742,863
70,165,243,382,586,864
70,165,243,586,743,864
71,166,244,383,587,865
71,166,244,587,744,865
72,167,245,320,588,866
72,167,245,588,745,866
73,168,246,321,589,867
73,168,246,589,746,867
74,169,247,322,590,868
74,169,247,590,747,868
75,170,248,323,591,869
75,170,248,591,748,869
76,171,249,324,592,870
76,171,249,592,749,870
77,172,250,325,593,871
77,172,250,593,750,871
78,173,251,326,594,872
78,173,251,594,751,872
79,174,252,327,595,873
79,174,252,595,752,873
80,175,253,328,596,874
80,175,253,596,753,874
81,176,254,329,597,875
81,176,254,597,754,875
82,177,255,330,598,876
82,177,255,598,755,876
83,178,192,331,599,877
83,178,192,599,756,877
84,179,193,332,600,878
84,179,193,600,757,878
85,180,194,333,601,879
85,180,194,601,758,879
86,181,195,334,602,880
86,181,195,602,759,880
87,182,196,335,603,881
87,182,196,603,760,881
88,183,197,336,604,882
88,183,197,604,761,882
89,184,198,337,605,883
89,184,198,605,762,883
90,185,199,338,606,884
90,185,199,606,763,884
91,186,200,339,607,885
91,186,200,607,764,885
92,187,201,340,608,886
92,187,201,608,765,886
93,188,202,341,609,887
93,188,202,609,766,887
94,189,203,342,610,888
94,189,203,610,767,888
95,190,204,343,611,889
95,190,204,611,704,889
96,191,205,344,612,890
96,191,205,612,705,890
97,128,206,345,613,891
97,128,206,613,706,891
98,129,207,346,614,892
98,129,207,614,707,892
99,130,208,347,615,893
99,130,208,615,708,893
100,131,209,348,616,894
100,131,209,616,709,894
101,132,210,349,617,895
101,132,210,617,710,895
102,133,211,350,618,832
102,133,211,618,711,832
103,134,212,351,619,833
103,134,212,619,712,833
104,135,213,352,620,834
104,135,213,620,713,834
105,136,214,353,621,835
105,136,214,621,714,835
106,137,215,354,622,836
106,137,215,622,715,836
107,138,216,355,623,837
107,138,216,623,716,837
108,139,217,356,624,838
108,139,217,624,717,838
109,140,218,357,625,839
109,140,218,625,718,839
110,141,219,358,626,840
110,141,219,626,719,840
111,142,220,359,627,841
111,142,220,627,720,841
112,143,221,360,628,842
112,143,221,628,721,842
113,144,222,361,629,843
113,144,222,629,722,843
114,145,223,362,630,844
114,145,223,630,723,844
115,146,224,363,631,845
115,146,224,631,724,845
116,147,225,364,632,846
116,147,225,632,725,846
117,148,226,365,633,847
117,148,226,633,726,847
118,149,227,366,634,848
118,149,227,634,727,848
119,150,228,367,635,849
119,150,228,635,728,849
120,151,229,368,636,850
120,151,229,636,729,850
121,152,230,369,637,851
121,152,230,637,730,851
122,153,231,370,638,852
122,153,231,638,731,852
123,154,232,371,639,853
123,154,232,639,732,853
124,155,233,372,576,854
124,155,233,576,733,854
125,156,234,373,577,855
125,156,234,577,734,855
126,157,235,374,578,856
126,157,235,578,735,856
127,158,236,375,579,857
127,158,236,579,736,857
0,123,154,246,371,416,499,732
0,21,123,165,416,437,456,864
0,26,123,246,416,499,567,732
0,102,123,246,395,416,499,732
0,116,123,172,416,632,864,871
0,113,144,244,361,416,557,693
0,88,144,244,260,416,604,693
0,16,144,244,416,557,693,722
0,113,144,244,416,557,693,722
0,43,102,144,395,416,499,843
0,43,144,246,395,416,499,843
0,111,203,220,283,416,627,706
0,99,203,243,347,392,416,864
0,99,203,243,347,416,496,864
0,99,148,203,347,416,773,847
0,21,165,203,416,437,456,864
0,123,203,246,416,456,499,732
0,72,203,228,308,416,516,541
0,72,128,203,416,516,588,706
0,150,203,228,416,541,610,849
0,23,203,243,416,652,729,864
0,47,148,203,416,753,773,847
0,80,165,203,416,437,753,864
0,175,203,228,416,541,635,753
0,24,203,244,416,693,730,888
0,76,203,244,324,416,693,888
0,76,203,220,416,433,706,888
0,76,203,220,416,473,706,888
0,97,102,206,350,499,541,613
0,97,102,206,350,499,613,706
0,102,128,206,350,499,706,891
0,102,116,225,499,632,711,864
0,102,151,243,499,729,850,864
0,119,228,246,499,541,635,867
0,97,148,201,345,541,608,773
0,38,97,220,390,473,541,706
0,97,128,206,541,613,706,891
0,97,116,220,364,541,706,864
0,97,165,224,437,541,845,864
0,72,128,228,308,541,588,706
0,48,128,228,400,541,677,706
0,76,220,244,324,433,693,706
0,76,220,244,324,473,693,706
0,41,220,244,393,693,706,841
0,117,148,244,365,693,773,865
0,117,148,244,693,726,773,865
0,97,148,201,345,608,706,773
0,97,165,224,437,706,845,864
0,128,148,201,345,608,706,773
0,116,147,220,364,706,725,864
0,17,165,220,433,706,790,864
0,40,220,243,392,669,706,864
0,99,148,243,392,773,847,864
0,99,148,243,496,773,847,864
1,124,155,247,372,417,500,733
1,22,124,166,417,438,457,865
1,27,124,247,417,500,568,733
1,103,124,247,396,417,500,733
1,117,124,173,417,633,865,872
1,114,145,245,362,417,558,694
1,89,145,245,261,417,605,694
1,17,145,245,417,558,694,723
1,114,145,245,417,558,694,723
1,44,103,145,396,417,500,844
1,44,145,247,396,417,500,844
1,112,204,221,284,417,628,707
1,100,204,244,348,393,417,865
1,100,204,244,348,417,497,865
1,100,149,204,348,417,774,848
1,22,166,204,417,438,457,865
1,124,204,247,417,457,500,733
1,73,204,229,309,417,517,542
1,73,129,204,417,517,589,707
1,151,204,229,417,542,611,850
1,24,204,244,417,653,730,865
1,48,149,204,417,754,774,848
1,81,166,204,417,438,754,865
1,176,204,229,417,542,636,754
1,25,204,245,417,694,731,889
1,77,204,245,325,417,694,889
1,77,204,221,417,434,707,889
1,77,204,221,417,474,707,889
1,98,103,207,351,500,542,614
1,98,103,207,351,500,614,707
1,103,129,207,351,500,707,892
1,103,117,226,500,633,712,865
1,103,152,244,500,730,851,865
1,120,229,247,500,542,636,868
1,98,149,202,346,542,609,774
1,39,98,221,391,474,542,707
1,98,129,207,542,614,707,892
1,98,117,221,365,542,707,865
1,98,166,225,438,542,846,865
1,73,129,229,309,542,589,707
1,49,129,229,401,542,678,707
1,77,221,245,325,434,694,707
1,77,221,245,325,474,694,707
1,42,221,245,394,694,707,842
1,118,149,245,366,694,774,866
1,118,149,245,694,727,774,866
1,98,149,202,346,609,707,774
1,98,166,225,438,707,846,865
1,129,149,202,346,609,707,774
1,117,148,221,365,707,726,865
1,18,166,221,434,707,791,865
1,41,221,244,393,670,707,865
1,100,149,244,393,774,848,865
1,100,149,244,497,774,848,865
2,125,156,248,373,418,501,734
2,23,125,167,418,439,458,866
2,28,125,248,418,501,569,734
2,104,125,248,397,418,501,734
2,118,125,174,418,634,866,873
2,115,146,246,363,418,559,695
2,90,146,246,262,418,606,695
2,18,146,246,418,559,695,724
2,115,146,246,418,559,695,724
2,45,104,146,397,418,501,845
2,45,146,248,397,418,501,845
2,113,205,222,285,418,629,708
2,101,205,245,349,394,418,866
2,101,205,245,349,418,498,866
2,101,150,205,349,418,775,849
2,23,167,205,418,439,458,866
2,125,205,248,418,458,501,734
2,74,205,230,310,418,518,543
2,74,130,205,418,518,590,708
2,152,205,230,418,543,612,851
2,25,205,245,418,654,731,866
2,49,150,205,418,755,775,849
2,82,167,205,418,439,755,866
2,177,205,230,418,543,637,755
2,26,205,246,418,695,732,890
2,78,205,246,326,418,695,890
2,78,205,222,418,435,708,890
2,78,205,222,418,475,708,890
2,99,104,208,352,501,543,615
2,99,104,208,352,501,615,708
2,104,130,208,352,501,708,893
2,104,118,227,501,634,713,866
2,104,153,245,501,731,852,866
2,121,230,248,501,543,637,869
2,99,150,203,347,543,610,775
2,40,99,222,392,475,543,708
2,99,130,208,543,615,708,893
2,99,118,222,366,543,708,866
2,99,167,226,439,543,847,866
2,74,130,230,310,543,590,708
2,50,130,230,402,543,679,708
2,78,222,246,326,435,695,708
2,78,222,246,326,475,695,708
2,43,222,246,395,695,708,843
2,119,150,246,367,695,775,867
2,119,150,246,695,728,775,867
2,99,150,203,347,610,708,775
2,99,167,226,439,708,847,866
2,130,150,203,347,610,708,775
2,118,149,222,366,708,727,866
2,19,167,222,435,708,792,866
2,42,222,245,394,671,708,866
2,101,150,245,394,775,849,866
2,101,150,245,498,775,849,866
3,126,157,249,374,419,502,735
3,24,126,168,419,440,459,867
3,29,126,249,419,502,570,735
3,105,126,249,398,419,502,735
3,119,126,175,419,635,867,874
3,116,147,247,364,419,560,696
3,91,147,247,263,419,607,696
3,19,147,247,419,560,696,725
3,116,147,247,419,560,696,725
3,46,105,147,398,419,502,846
3,46,147,249,398,419,502,846
3,114,206,223,286,419,630,709
3,102,206,246,350,395,419,867
3,102,206,246,350,419,499,867
3,102,151,206,350,419,776,850
3,24,168,206,419,440,459,867
3,126,206,249,419,459,502,735
3,75,206,231,311,419,519,544
3,75,131,206,419,519,591,709
3,153,206,231,419,544,613,852
3,26,206,246,419,655,732,867
3,50,151,206,419,756,776,850
3,83,168,206,419,440,756,867
3,178,206,231,419,544,638,756
3,27,206,247,419,696,733,891
3,79,206,247,327,419,696,891
3,79,206,223,419,436,709,891
3,79,206,223,419,476,709,891
3,100,105,209,353,502,544,616
3,100,105,209,353,502,616,709
3,105,131,209,353,502,709,894
3,105,119,228,502,635,714,867
3,105,154,246,502,732,853,867
3,122,231,249,502,544,638,870
3,100,151,204,348,544,611,776
3,41,100,223,393,476,544,709
3,100,131,209,544,616,709,894
3,100,119,223,367,544,709,867
3,100,168,227,440,544,848,867
3,75,131,231,311,544,591,709
3,51,131,231,403,544,680,709
3,79,223,247,327,436,696,709
3,79,223,247,327,476,696,709
3,44,223,247,396,696,709,844
3,120,151,247,368,696,776,868
3,120,151,247,696,729,776,868
3,100,151,204,348,611,709,776
3,100,168,227,440,709,848,867
3,131,151,204,348,611,709,776
3,119,150,223,367,709,728,867
3,20,168,223,436,709,793,867
3,43,223,246,395,672,709,867
3,102,151,246,395,776,850,867
3,102,151,246,499,776,850,867
4,127,158,250,375,420,503,736
4,25,127,169,420,441,460,868
4,30,127,250,420,503,571,736
4,106,127,250,399,420,503,736
4,120,127,176,420,636,868,875
4,117,148,248,365,420,561,697
4,92,148,248,264,420,608,697
4,20,148,248,420,561,697,726
4,117,148,248,420,561,697,726
4,47,106,148,399,420,503,847
4,47,148,250,399,420,503,847
4,115,207,224,287,420,631,710
4,103,207,247,351,396,420,868
4,103,207,247,351,420,500,868
4,103,152,207,351,420,777,851
4,25,169,207,420,441,460,868
4,127,207,250,420,460,503,736
4,76,207,232,312,420,520,545
4,76,132,207,420,520,592,710
4,154,207,232,420,545,614,853
4,27,207,247,420,656,733,868
4,51,152,207,420,757,777,851
4,84,169,207,420,441,757,868
4,179,207,232,420,545,639,757
4,28,207,248,420,697,734,892
4,80,207,248,328,420,697,892
4,80,207,224,420,437,710,892
4,80,207,224,420,477,710,892
4,101,106,210,354,503,545,617
4,101,106,210,354,503,617,710
4,106,132,210,354,503,710,895
4,106,120,229,503,636,715,868
4,106,155,247,503,733,854,868
4,123,232,250,503,545,639,871
4,101,152,205,349,545,612,777
4,42,101,224,394,477,545,710
4,101,132,210,545,617,710,895
4,101,120,224,368,545,710,868
4,101,169,228,441,545,849,868
4,76,132,232,312,545,592,710
4,52,132,232,404,545,681,710
4,80,224,248,328,437,697,710
4,80,224,248,328,477,697,710
4,45,224,248,397,697,710,845
4,121,152,248,369,697,777,869
4,121,152,248,697,730,777,869
4,101,152,205,349,612,710,777
4,101,169,228,441,710,849,868
4,132,152,205,349,612,710,777
4,120,151,224,368,710,729,868
4,21,169,224,437,710,794,868
4,44,224,247,396,673,710,868
4,103,152,247,396,777,851,868
4,103,152,247,500,777,851,868
5,64,159,251,376,421,504,737
5,26,64,170,421,442,461,869
5,31,64,251,421,504,572,737
5,64,107,251,400,421,504,737
5,64,121,177,421,637,869,876
5,118,149,249,366,421,562,698
5,93,149,249,265,421,609,698
5,21,149,249,421,562,698,727
5,118,149,249,421,562,698,727
5,48,107,149,400,421,504,848
5,48,149,251,400,421,504,848
5,116,208,225,288,421,632,711
5,104,208,248,352,397,421,869
5,104,208,248,352,421,501,869
5,104,153,208,352,421,778,852
5,26,170,208,421,442,461,869
5,64,208,251,421,461,504,737
5,77,208,233,313,421,521,546
5,77,133,208,421,521,593,711
5,155,208,233,421,546,615,854
5,28,208,248,421,657,734,869
5,52,153,208,421,758,778,852
5,85,170,208,421,442,758,869
5,180,208,233,421,546,576,758
5,29,208,249,421,698,735,893
5,81,208,249,329,421,698,893
5,81,208,225,421,438,711,893
5,81,208,225,421,478,711,893
5,102,107,211,355,504,546,618
5,102,107,211,355,504,618,711
5,107,133,211,355,504,711,832
5,107,121,230,504,637,716,869
5,107,156,248,504,734,855,869
5,124,233,251,504,546,576,872
5,102,153,206,350,546,613,778
5,43,102,225,395,478,546,711
5,102,133,211,546,618,711,832
